poi_order,title,description,source
1,Remnant Native Vegetation,This area of native vegetation is a remnant of the forest that used to cover much of the campus. It’s classified as the Sydney Turpentine–Ironbark Forest and is protected as an endangered ecological community.,Budyari Ngurra Walking Track map (June 2024)
2,Macquarie University Lake,"The picturesque lake, classified as a reserve, is home to reeds, water lilies and other aquatic plants, as well as waterbirds such as lapwings, ducks, dusky moorhens and ibis.",Budyari Ngurra Walking Track map (June 2024)
3,Macquarie University Art Gallery,"The Art Gallery and Collection contains more than 2700 items across media such as painting, photography, drawing, ceramics, textiles and video.",Budyari Ngurra Walking Track map (June 2024)
4,Macquarie University Natural Sciences Discovery Centre,"The collection features mostly Australian specimens, including skulls, skeletons, taxidermy mounts, coral, shells, antique microscopes and insects – as well as Minmi, the centre’s resident ankylosaur.",Budyari Ngurra Walking Track map (June 2024)
5,Frank Mercer Natural Sciences Garden,"The garden has a strong focus on flowering plants, gymnosperms such as cycads, and ferns.",Budyari Ngurra Walking Track map (June 2024)
6,Frank The Bear,"Frank, the three-metre-tall Kodiak bear, began his life in Seattle Zoo before settling at Taronga Zoo. Frank came to Macquarie following his death in 1978, where he has been proudly displayed since.",Budyari Ngurra Walking Track map (June 2024)
7,Bush Tucker Garden,"Many of the plants – native to the Wallumattagal Country, North Ryde area – have strong connections with Indigenous cultural practices as food or medicine.",Budyari Ngurra Walking Track map (June 2024)
8,Macquarie University Hospital,"The hospital combines state-of-the-art technologies, visionary treatments and superb patient facilities with a commitment to high-quality care. Adjacent to the hospital are 32 specialist clinics.",Budyari Ngurra Walking Track map (June 2024)
9,Jim Rose Natural Sciences Garden,"The garden – divided into two sections – features plants significant to both the Northern and Southern hemispheres, as well as Devonian limestones that are home to unique marine fossils.",Budyari Ngurra Walking Track map (June 2024)
10,Central Courtyard,"The tree-lined Central Courtyard – the natural heart of the campus – is home to retail outlets offering food and beverages from across the globe, a teaching and study spaces, and a graduation hall.",Budyari Ngurra Walking Track map (June 2024)
11,Library,"Situated at the entrance to the Library, the Lachlan and Elizabeth Macquarie Room is the original sitting parlour from the Macquarie family estate on the Isle of Mull in Scotland. It houses the historically significant Macquarie Chair and Macquarie Dish.",Budyari Ngurra Walking Track map (June 2024)
12,Macquarie University History Museum,"Home to more than 18,000 objects, the museum explores world history from when Aboriginal peoples first lived on this land around 65,000 BCE through ancient Egypt, Greece and Rome to the 20th and 21st centuries.",Budyari Ngurra Walking Track map (June 2024)
13,Macquarie University Sport And Aquatic Centre,"Home to a state-of-the-art health club, heated indoor and outdoor swimming pools, group fitness studios, and martial arts and gymnastics spaces, the centre is open to everyone, every day.",Budyari Ngurra Walking Track map (June 2024)
14,Learning Circle,"This sacred space provides a culturally safe place for Indigenous events and for yarns, meetings and bayala (conversations) around the business of life.",Budyari Ngurra Walking Track map (June 2024)
15,Sculpture Park,"Peppered across the campus are some 130 sandstone, limestone, concrete, steel, bronze, copper and ceramic sculptures crafted by Australian and international sculptors. 1 1 6 6 11 12 12 13 14 15 7 7 8 8 9 10 2 2 3 3 4 4 5 5 Budyari Ngurra (Good Country) Walking Track Bush track 9 10 11 13 14 15 Budyari Ngurra Walking Track SIR  CH RISTO PHER           ON DA ATJE  AVENUE",Budyari Ngurra Walking Track map (June 2024)
